ID	name_txt
133311	Barthlottia madagascariensis
546921	Paracercion calamorum
2630544	unclassified Citromicrobium
201935	Corollospora fusca
469099	Norovirus Hu/GII/56/JPN
1591998	bacterium T-2-48-8F
303945	Rhizoprionodon terraenovae
115527	Trithrinax campestris
2594768	Pholiota lurida
84907	Macrocarpaea rubra
70604	Pachnocybe ferruginea
1565402	Chusquea cumingii
2639222	unclassified Arrenoseius
500247	Plinthanthesis rodwayi
588195	Phaeoptyx conklini
4123	Convolvulus arvensis
241059	Neurospora indica
186350	Microascus hyalinus
81584	Botryocladia ebriosa
241513	Asplenium richardii
2626254	unclassified Actinomadura
497983	Macrognathus pancalus
1566334	Picobirnavirus HK-2014
2026611	Gymnosporia dhofarensis
2735831	Gymnochthebius coruscus
687799	Cyanophage S-RIM17
2035904	Caiophora cinerea
418120	Streptogyna crinita
615660	Pheidole wilsoni
190572	Neochordodes occidentalis
2591988	Tettigometra impressifrons
186149	Dyscritomyia fasciata
16965	Isopogon latifolius
185965	Prasiola japonica
2629910	unclassified Stypella
137701	Triplaris poeppigiana
1534587	Saxifraga tenella
59798	Crithidia acanthocephali
2044315	Arthroclianthus macrobotryosus
279485	Myrmeleon formicarius
376541	environmental samples
1531747	bacterium SCSIO13329
2029708	Norovirus GI.12
489120	Ducetia biramosa
2744159	Buxus heterophylla
292139	Tetraponera caffra
339434	Linisa tamaulipasensis
196700	Sturnira parvidens
67774	Neorhizobium huautlense
1524296	Palaquium cryptocariifolium
128956	Brachicoma devia
2753419	Carex rhynchoperigynium
262715	Stormsia minima
552693	Shorea palosapis
98965	Hepialus californicus
592602	Chamaecrista glaucofilix
210256	Helle longirostris
329776	Solanum heinianum
2619602	unclassified Gracilipsodes
2442	Plasmid ColD
565155	Helodrilus oculatus
2633068	unclassified Xanthoria
537886	Chalarus saxonicus
1664403	Rhizoplaca marginalis
692590	Norovirus Hu/GII.4/Nsk-D43/2009/RUS
171821	Draba maguirei
205389	Monsonia glauca
289982	Didymium floccosum
286955	Ranunculus ophioglossifolius
310471	unclassified Dothioraceae
87656	Angophora bakeri
2583766	Thoressa baileyi
2031159	Kurtzmaniella sp.
1632619	bacterium YC-ZSS-LKJ39
462117	Norovirus Hu/CHN42814/CZ04
2019948	Cycnoches rossianum
100204	Zalembius rosaceus
2637307	unclassified Crypturellus
362947	Steinernema khoisanae
2629247	unclassified Pseudautomeris
364844	bacterium gwi59
2600208	unclassified Serendipita
1963798	Machaerium lanceolatum
176868	Ostryopsis nobilis
2610996	Phrosinella aurifacies
2619611	unclassified Aquidulcibacter
1526572	Aquisalinus flavus
228637	Krameria cytisoides
373583	Ramalina exilis
1647494	Sapovirus Hu/GI/BFA299/BFA/2010
107788	Bidessus calabricus
2580502	Ophiocomella alexandri
60460	Thereuopoda clunifera
131698	Phoracantha semipunctata
1747750	Xerocrassa meda
326289	environmental samples
74946	Illigera luzonensis
1755332	Norovirus Hu/GI.3/NZ14015/2013/NZ
563999	Oedipina collaris
1647930	Limnodriloides agnes
106030	Taxandria spathulata
1740112	Chrysomyxa qilianensis
593788	Cystoseira mediterranea
372083	Diphyllobothrium cordatum
615	Serratia marcescens
690265	Limnephilus femoralis
2641867	unclassified Palaeodocosia
1555353	Anigraea ochrobasis
2753498	Carex chaofangii
688031	Richea victoriana
2014601	Rhigonema naylae
2752901	Clostera bramah
85476	Fagopyrum leptopodum
2623375	unclassified Dolops
141389	Chromohalobacter canadensis
209621	Empidonax atriceps
104303	Botryobasidium longisporum
85156	Ephippiger ephippiger
492014	Stemona burkillii
2641442	unclassified Dipteromimus
611455	Cricotopus flavocinctus
198683	Uredo vetus
643629	Vischeria punctata
304151	Physalis lassa
2626039	unclassified Rainieria
432645	Paraquilegia microphylla
1634085	Mermiria intertexta
246454	Monodontomerus minor
452353	Chyphotes nubeculus
564436	Acropora speciosa
614118	Ramulus thaii
491812	Andvakia boninensis
571186	actinomycete Nd2
2623403	unclassified Dinosalius
1958960	Harpalyce magnibracteata
537136	Goldbachia pendula
355930	Yonghaparkia alkaliphila
624158	Euthrix fox
1538620	environmental samples
2642937	unclassified Sadleriana
214204	Brassaiopsis ficifolia
470876	Neptis ida
72075	Sebastes exsul
330761	Sylvietta whytii
60289	Aphyosemion melanopteron
2628760	unclassified Guaiagorgia
2779845	mosavirus A1
2561006	Autographa macrogamma
96657	Choriorhabditis dudichi
204646	bacterium Ellin320
1775656	Oxera pancheri
1729879	bacterium YY17
274592	Hoeflea marina
478489	bacterium RUL2-2-2
20342	Schotia brachypetala
318769	Timdalia intricata
